               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.018304,            0.012157,          0.00067934,             0.99357,                   1,               0.995,             0.88216,            0.018664,           0.0032757,          0.00056992,            0.002938,            0.002938,            0.002938
                 109,            0.017052,            0.011316,          0.00076349,                   1,             0.99014,               0.995,             0.87619,            0.016321,           0.0031574,          0.00056033,            0.002872,            0.002872,            0.002872
                 110,             0.01724,            0.011017,          0.00067004,             0.94811,                   1,              0.9925,             0.88395,            0.016481,           0.0030511,          0.00055357,            0.002806,            0.002806,            0.002806
                 111,            0.017307,            0.010006,           0.0006402,             0.94988,             0.99764,              0.9925,             0.87508,             0.01777,           0.0030491,          0.00054438,             0.00274,             0.00274,             0.00274
                 112,            0.017603,             0.01119,          0.00068752,             0.94983,             0.99663,              0.9925,             0.85816,            0.019068,           0.0032143,          0.00053658,            0.002674,            0.002674,            0.002674
                 113,            0.017328,            0.010879,          0.00062482,             0.94982,             0.99641,              0.9925,             0.86906,            0.016321,           0.0033445,          0.00053072,            0.002608,            0.002608,            0.002608
                 114,            0.016285,            0.010121,          0.00073915,             0.94982,             0.99642,              0.9925,             0.84916,            0.018333,           0.0034093,          0.00053353,            0.002542,            0.002542,            0.002542
                 115,            0.016785,            0.010416,          0.00073822,             0.94982,             0.99641,              0.9925,             0.84905,             0.01723,           0.0034049,          0.00052566,            0.002476,            0.002476,            0.002476
                 116,            0.016656,            0.010642,          0.00071357,             0.94986,             0.99712,              0.9925,             0.84703,            0.017809,           0.0034424,           0.0005194,             0.00241,             0.00241,             0.00241
                 117,            0.015995,            0.011169,          0.00055542,             0.94988,             0.99766,              0.9925,             0.85443,            0.016317,           0.0035068,          0.00050071,            0.002344,            0.002344,            0.002344
                 118,            0.018058,            0.010121,          0.00059557,             0.94196,                   1,                0.99,             0.85597,            0.017909,           0.0036304,           0.0004905,            0.002278,            0.002278,            0.002278
                 119,            0.015689,             0.01095,          0.00050088,             0.94961,              0.9923,                0.99,             0.87576,            0.016423,           0.0038981,          0.00049118,            0.002212,            0.002212,            0.002212
                 120,            0.016504,           0.0098603,           0.0005102,             0.94459,                   1,                0.99,             0.86117,            0.016795,           0.0036588,          0.00046987,            0.002146,            0.002146,            0.002146
                 121,            0.016583,           0.0099528,          0.00060912,             0.94341,                   1,                0.99,             0.86572,            0.017324,           0.0035989,          0.00046672,             0.00208,             0.00208,             0.00208
                 122,            0.016104,            0.010007,          0.00074177,             0.94951,             0.99016,                0.99,             0.87396,            0.017747,           0.0040114,          0.00047434,            0.002014,            0.002014,            0.002014
                 123,            0.016118,           0.0099977,          0.00053473,             0.94709,             0.94244,             0.98761,             0.86505,            0.016209,            0.004278,          0.00047876,            0.001948,            0.001948,            0.001948
                 124,            0.015084,            0.010335,          0.00049926,             0.99187,             0.89474,             0.98548,             0.85185,            0.017015,           0.0046025,          0.00048333,            0.001882,            0.001882,            0.001882
                 125,            0.015267,           0.0091658,          0.00046014,             0.99061,             0.89474,             0.98548,             0.87386,            0.015159,           0.0047694,          0.00048265,            0.001816,            0.001816,            0.001816
                 126,             0.01512,            0.010412,          0.00046659,             0.94711,             0.94266,             0.98761,             0.85423,            0.015949,           0.0046339,          0.00046434,             0.00175,             0.00175,             0.00175
                 127,            0.016352,            0.010203,          0.00052159,             0.94905,                   1,                0.99,             0.86279,            0.015582,           0.0043383,          0.00044349,            0.001684,            0.001684,            0.001684
                 128,            0.015127,           0.0096879,          0.00048582,             0.93987,                   1,                0.99,             0.85321,            0.015871,           0.0041059,          0.00042853,            0.001618,            0.001618,            0.001618
                 129,            0.014606,            0.010208,          0.00042441,             0.94988,             0.99763,                0.99,             0.86403,            0.016029,           0.0038367,          0.00041057,            0.001552,            0.001552,            0.001552
                 130,              0.0147,            0.010417,          0.00040612,             0.94985,             0.99696,                0.99,             0.86473,             0.01558,            0.003824,          0.00040178,            0.001486,            0.001486,            0.001486
                 131,            0.014767,            0.010654,          0.00051932,             0.94989,             0.99775,                0.99,             0.87897,            0.016316,           0.0036298,          0.00039298,             0.00142,             0.00142,             0.00142
                 132,            0.014983,           0.0095114,          0.00046482,             0.94995,             0.99895,                0.99,             0.86359,            0.015442,           0.0035497,          0.00038597,            0.001354,            0.001354,            0.001354
                 133,            0.014741,           0.0094908,          0.00039968,             0.94996,              0.9992,                0.99,             0.86315,            0.016018,           0.0035322,          0.00038175,            0.001288,            0.001288,            0.001288
                 134,            0.015274,           0.0090305,          0.00051843,             0.94993,             0.99861,                0.99,             0.87153,            0.015818,           0.0035513,           0.0003736,            0.001222,            0.001222,            0.001222
                 135,            0.013617,           0.0093283,          0.00041495,             0.94992,                   1,                0.99,             0.88088,            0.015845,           0.0036791,           0.0003648,            0.001156,            0.001156,            0.001156
                 136,            0.013009,            0.010548,          0.00066196,             0.94993,             0.99858,                0.99,             0.87881,            0.015971,           0.0037577,            0.000356,             0.00109,             0.00109,             0.00109
                 137,            0.014252,           0.0095123,          0.00041989,             0.94986,             0.99713,                0.99,             0.89044,             0.01484,           0.0035815,          0.00034077,            0.001024,            0.001024,            0.001024
                 138,            0.014612,           0.0099293,          0.00041348,             0.94986,             0.99728,                0.99,             0.88251,            0.015381,           0.0036497,          0.00033433,            0.000958,            0.000958,            0.000958
                 139,            0.012731,           0.0092421,          0.00039725,             0.94984,             0.99681,                0.99,             0.87279,            0.014618,           0.0036075,          0.00032553,            0.000892,            0.000892,            0.000892
                 140,            0.013752,           0.0095917,           0.0005677,             0.94982,             0.99639,                0.99,             0.88499,            0.014963,            0.003699,          0.00032446,            0.000826,            0.000826,            0.000826
                 141,            0.013221,           0.0096934,          0.00034797,              0.9498,             0.99596,                0.99,             0.87535,            0.014542,           0.0038271,          0.00032288,             0.00076,             0.00076,             0.00076
                 142,            0.013952,           0.0094279,          0.00036868,             0.94982,             0.99645,                0.99,             0.87605,            0.014857,           0.0038873,          0.00031845,            0.000694,            0.000694,            0.000694
                 143,            0.012531,           0.0090177,          0.00034653,             0.94983,             0.99652,                0.99,             0.87203,            0.015293,           0.0037743,          0.00031731,            0.000628,            0.000628,            0.000628
                 144,            0.013305,           0.0094678,           0.0004161,             0.94983,             0.99665,                0.99,             0.88226,            0.014987,           0.0036468,          0.00030927,            0.000562,            0.000562,            0.000562
                 145,            0.013728,           0.0099244,          0.00036154,             0.94981,             0.99614,                0.99,              0.8828,            0.014698,           0.0036904,          0.00030347,            0.000496,            0.000496,            0.000496
                 146,            0.013911,            0.009426,          0.00041836,              0.9498,             0.99593,                0.99,              0.8796,            0.014902,           0.0037211,          0.00029768,             0.00043,             0.00043,             0.00043
                 147,            0.012933,           0.0084912,          0.00032179,              0.9498,             0.99598,                0.99,             0.87945,            0.014959,           0.0037284,          0.00029232,            0.000364,            0.000364,            0.000364
                 148,            0.013465,            0.010161,          0.00033696,             0.94975,             0.99501,                0.99,             0.87814,            0.014855,           0.0037012,          0.00029081,            0.000298,            0.000298,            0.000298
                 149,            0.012387,           0.0091919,          0.00031623,             0.94982,             0.99633,                0.99,             0.88982,            0.014641,           0.0036444,          0.00028292,            0.000232,            0.000232,            0.000232
